messages,sender_labels,receiver_labels,speakers,receivers,absolute_message_index,relative_message_index,seasons,years,game_score,game_score_delta,players,game_id
"Germany!

Just the person I want to speak with. I have a somewhat crazy idea that I’ve always wanted to try with I/G, but I’ve never actually convinced the other guy to try it. And, what’s worse, it might make you suspicious of me. 

So...do I suggest it?

I’m thinking that this is a low stakes game, not a tournament or anything, and an interesting and unusual move set might make it more fun? That’s my hope anyway.

What is your appetite like for unusual and crazy?",True,True,italy,germany,74,0,Spring,1901,3,0,"italy, germany",1
"You've whet my appetite, Italy. What's the suggestion?",True,True,germany,italy,76,1,Spring,1901,3,0,"italy, germany",1
👍,True,True,italy,germany,86,2,Spring,1901,3,0,"italy, germany",1
It seems like there are a lot of ways that could go wrong...I don't see why France would see you approaching/taking Munich--while I do nothing about it--and not immediately feel skittish,True,True,germany,italy,87,3,Spring,1901,3,0,"italy, germany",1
"Yeah, I can’t say I’ve tried it and it works, cause I’ve never tried it or seen it. But how I think it would work is (a) my Spring move looks like an attack on Austria, so it would not be surprising if you did not cover Munich. Then (b) you build two armies, which looks like we’re really at war and you’re going to eject me. Then we launch the attack in Spring. So there is really no part of this that would raise alarm bells with France.

All that said, I’ve literally never done it before, and it does involve risk for you, so I’m not offended or concerned if it’s just not for you. I’m happy to play more conventionally too. Up to you.",True,NOANNOTATION,italy,germany,89,4,Spring,1901,3,0,"italy, germany",1
"I am just sensing that you don’t like this idea, so shall we talk about something else? That was just a crazy idea I’ve always wanted to try. I’m happy to play more conservatively.",True,NOANNOTATION,italy,germany,92,5,Spring,1901,3,0,"italy, germany",1
Any thoughts?,True,NOANNOTATION,italy,germany,97,6,Spring,1901,3,0,"italy, germany",1
"Sorry Italy I've been away doing, um, German things. Brewing Lagers?",True,True,germany,italy,117,7,Spring,1901,3,0,"italy, germany",1
"I don't think I'm ready to go for that idea, however I'd be down for some good ol'-fashioned Austria-kicking?",True,False,germany,italy,119,8,Spring,1901,3,0,"italy, germany",1
I am pretty conflicted about whether to guess that you were telling the truth or lying about the “brewing lagers” thing. I am going to take it literally and say 👎 even though I don’t think you meant it deceptively. 😉,True,True,italy,germany,121,9,Spring,1901,3,0,"italy, germany",1
"But I think I can get over “Lagergate” and we can still be friends. 

As of right now, I think Austria may be my most reliable ally. I’m thinking I’d like to play as a Central Trio if you have any interest in that. Thoughts?",True,True,italy,germany,123,10,Spring,1901,3,0,"italy, germany",1
