Agent_name,User,Timestamp,Decoder_name,Description,Full_log,Activity,Action
host-accesible_simulation,camilo,2025-03-06 13:44:07.090,auditd,1,"type=SYSCALL msg=audit(1741268643.921:34295): arch=c000003e syscall=59 success=yes exit=0 a0=55dc907bda78 a1=55dc907bda40 a2=55dc907bda60 a3=55dc907bd010 items=2 ppid=2218 pid=2220 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=2303 comm=""head"" exe=""/usr/bin/head"" key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""camilo"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root"" type=EXECVE msg=audit(1741268643.921:34295): argc=3 a0=""head"" a1=""-n"" a2=""10"" type=CWD msg=audit(1741268643.921:34295): cwd=""/"" type=PATH msg=audit(1741268643.921:34295): item=0 name=""/usr/bin/head"" inode=610 dev=fd:00 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0000000000000000 cap_fi=0000000000000000 cap_fe=0 cap_fver=0 OUID=""root"" OGID=""root"" type=PATH msg=audit(1741268643.921:34295): item=1 name=""/lib64/ld-linux-x86-64.so.2"" inode=656855 dev=fd:00 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0000000000000000 cap_fi=0000000000000000 cap_fe=0 cap_fver=0 OUID=""root"" OGID=""root"" type=PROCTITLE msg=audit(1741268643.921:34295): proctitle=68656164002D6E003130",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:50.806,auditd,1,"type=SYSCALL msg=audit(1741273009.274:3880): arch=c000003e syscall=59 success=yes exit=0 a0=5996d3600d20 a1=5996d35eb850 a2=5996d3600b88 a3=2 items=2 ppid=5055 pid=5057 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu"" type=EXECVE msg=audit(1741273009.274:3880): argc=3 a0=""head"" a1=""-n"" a2=""1"" type=CWD msg=audit(1741273009.274:3880): cwd=""/home/ubuntu"" type=PATH msg=audit(1741273009.274:3880): item=0 name=""/usr/bin/head"" inode=524823 dev=08:03 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 OUID=""root"" OGID=""root"" type=PATH msg=audit(1741273009.274:3880): item=1 name=""/lib64/ld-linux-x86-64.so.2"" inode=551795 dev=08:03 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 OUID=""root"" OGID=""root"" type=PROCTITLE msg=audit(1741273009.274:3880): proctitle=68656164002D6E0031",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:50.862,auditd,1,"type=SYSCALL msg=audit(1741273009.294:3884): arch=c000003e syscall=59 success=yes exit=0 a0=5996d3600d20 a1=5996d35eb850 a2=5996d3600b88 a3=2 items=2 ppid=5060 pid=5062 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu"" type=EXECVE msg=audit(1741273009.294:3884): argc=3 a0=""head"" a1=""-n"" a2=""1"" type=CWD msg=audit(1741273009.294:3884): cwd=""/home/ubuntu"" type=PATH msg=audit(1741273009.294:3884): item=0 name=""/usr/bin/head"" inode=524823 dev=08:03 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 OUID=""root"" OGID=""root"" type=PATH msg=audit(1741273009.294:3884): item=1 name=""/lib64/ld-linux-x86-64.so.2"" inode=551795 dev=08:03 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 OUID=""root"" OGID=""root"" type=PROCTITLE msg=audit(1741273009.294:3884): proctitle=68656164002D6E0031",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:50.998,auditd,1,"type=SYSCALL msg=audit(1741273009.328:3904): arch=c000003e syscall=59 success=yes exit=0 a0=5996d3600d20 a1=5996d35eb850 a2=5996d3600b88 a3=2 items=2 ppid=5085 pid=5087 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu""",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:51.053,auditd,1,"type=SYSCALL msg=audit(1741273009.346:3908): arch=c000003e syscall=59 success=yes exit=0 a0=5996d3600d20 a1=5996d35eb850 a2=5996d3600b88 a3=2 items=2 ppid=5090 pid=5092 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu"" type=EXECVE msg=audit(1741273009.346:3908): argc=3 a0=""head"" a1=""-n"" a2=""1"" type=CWD msg=audit(1741273009.346:3908): cwd=""/home/ubuntu"" type=PATH msg=audit(1741273009.346:3908): item=0 name=""/usr/bin/head"" inode=524823 dev=08:03 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 OUID=""root"" OGID=""root"" type=PATH msg=audit(1741273009.346:3908): item=1 name=""/lib64/ld-linux-x86-64.so.2"" inode=551795 dev=08:03 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 OUID=""root"" OGID=""root"" type=PROCTITLE msg=audit(1741273009.346:3908): proctitle=68656164002D6E0031",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:52.999,auditd,1,"type=SYSCALL msg=audit(1741273011.554:3977): arch=c000003e syscall=59 success=yes exit=0 a0=55a66aaebd20 a1=55a66aad6850 a2=55a66aaebb88 a3=2 items=2 ppid=5195 pid=5197 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu"" type=EXECVE msg=audit(1741273011.554:3977): argc=3 a0=""head"" a1=""-n"" a2=""1"" type=CWD msg=audit(1741273011.554:3977): cwd=""/home/ubuntu"" type=PATH msg=audit(1741273011.554:3977): item=0 name=""/usr/bin/head"" inode=524823 dev=08:03 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 OUID=""root"" OGID=""root"" type=PATH msg=audit(1741273011.554:3977): item=1 name=""/lib64/ld-linux-x86-64.so.2"" inode=551795 dev=08:03 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 OUID=""root"" OGID=""root"" type=PROCTITLE msg=audit(1741273011.554:3977): proctitle=68656164002D6E0031",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:53.011,auditd,1,"type=SYSCALL msg=audit(1741273011.556:3981): arch=c000003e syscall=59 success=yes exit=0 a0=55a66aaebd20 a1=55a66aad6850 a2=55a66aaebb88 a3=2 items=2 ppid=5200 pid=5202 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu""",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:53.037,auditd,1,"type=SYSCALL msg=audit(1741273011.573:3989): arch=c000003e syscall=59 success=yes exit=0 a0=55a66aaebd20 a1=55a66aad6850 a2=55a66aaebb88 a3=2 items=2 ppid=5210 pid=5212 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu""",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:53.054,auditd,1,"type=SYSCALL msg=audit(1741273011.573:3993): arch=c000003e syscall=59 success=yes exit=0 a0=55a66aaebd20 a1=55a66aad6850 a2=55a66aaebb88 a3=2 items=2 ppid=5215 pid=5217 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu""",command,Command executed
atacante_22cdbe317138f0d8f0137e45f930a42e950d036c,ubuntu,2025-03-06 14:56:54.803,auditd,1,"type=SYSCALL msg=audit(1741273013.364:4074): arch=c000003e syscall=59 success=yes exit=0 a0=58889d1dad20 a1=58889d1c5850 a2=58889d1dab88 a3=2 items=2 ppid=5374 pid=5376 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=5 comm=""head"" exe=""/usr/bin/head"" subj=unconfined key=""audit-wazuh-c"" ARCH=x86_64 SYSCALL=execve AUID=""ubuntu"" UID=""ubuntu"" GID=""ubuntu"" EUID=""ubuntu"" SUID=""ubuntu"" FSUID=""ubuntu"" EGID=""ubuntu"" SGID=""ubuntu"" FSGID=""ubuntu""",command,Command executed
